x,y,u,v
0.5,0.0,0.0,0.0
0.5,0.00031622776601683794,0.03320499999999999,0.0
0.5,0.0006324555320336759,0.06640999999999998,0.0
0.5,0.0009486832980505138,0.09958999999999998,0.0
0.5,0.0012649110640673518,0.13277,0.0
0.5,0.0015811388300841897,0.16585499999999997,0.0
0.5,0.0018973665961010276,0.19894,0.0
0.5,0.0022135943621178654,0.23182499999999995,0.0
0.5,0.0025298221281347035,0.26470999999999995,0.0
0.5,0.0028460498941515417,0.297245,0.0
0.5,0.0031622776601683794,0.32977999999999996,0.0
0.5,0.003478505426185217,0.36178,0.0
0.5,0.0037947331922020553,0.39378,0.0
0.5,0.004110960958218893,0.42502500000000004,0.0
0.5,0.004427188724235731,0.45626999999999995,0.0
0.5,0.004743416490252569,0.4865149999999999,0.0
0.5,0.005059644256269407,0.5167599999999999,0.0
0.5,0.005375872022286245,0.545765,0.0
0.5,0.005692099788303083,0.57477,0.0
0.5,0.006008327554319921,0.60227,0.0
0.5,0.006324555320336759,0.6297699999999999,0.0
0.5,0.006640783086353597,0.655545,0.0
0.5,0.006957010852370434,0.6813199999999999,0.0
0.5,0.007273238618387272,0.705155,0.0
0.5,0.0075894663844041105,0.72899,0.0
0.5,0.007905694150420948,0.750725,0.0
0.5,0.008221921916437787,0.77246,0.0
0.5,0.008538149682454624,0.79199,0.0
0.5,0.008854377448471461,0.8115199999999999,0.0
0.5,0.0091706052144883,0.828785,0.0
0.5,0.009486832980505138,0.8460499999999999,0.0
0.5,0.009803060746521977,0.86107,0.0
0.5,0.010119288512538814,0.8760899999999999,0.0
0.5,0.010435516278555651,0.8889299999999999,0.0
0.5,0.01075174404457249,0.90177,0.0
0.5,0.011067971810589328,0.91255,0.0
0.5,0.011384199576606167,0.92333,0.0
0.5,0.011700427342623004,0.932225,0.0
0.5,0.012016655108639841,0.94112,0.0
0.5,0.01233288287465668,0.9483199999999999,0.0
0.5,0.012649110640673518,0.95552,0.0
0.5,0.012965338406690355,0.96124,0.0
0.5,0.013281566172707194,0.96696,0.0
0.5,0.013597793938724031,0.971415,0.0
0.5,0.013914021704740868,0.97587,0.0
0.5,0.014230249470757707,0.9792799999999999,0.0
0.5,0.014546477236774545,0.98269,0.0
0.5,0.014862705002791384,0.98524,0.0
0.5,0.015178932768808221,0.98779,0.0
0.5,0.015495160534825058,0.9896699999999999,0.0
0.5,0.015811388300841896,0.99155,0.0
0.5,0.016127616066858735,0.9929,0.0
0.5,0.016443843832875574,0.99425,0.0
0.5,0.01676007159889241,0.995205,0.0
0.5,0.01707629936490925,0.99616,0.0
0.5,0.017392527130926087,0.99682,0.0
0.5,0.017708754896942923,0.99748,0.0
0.5,0.018024982662959762,0.99793,0.0
0.5,0.0183412104289766,0.99838,0.0
0.5,0.01865743819499344,0.99868,0.0
0.5,0.018973665961010275,0.99898,0.0
