y,u,v
0.0,0.0,0.0
0.01,0.0024503333333333365,0.0
0.02,0.004802666666666668,0.0
0.03,0.0070590000000000045,0.0
0.04,0.009221333333333331,0.0
0.05,0.011291666666666662,0.0
0.06,0.013272,0.0
0.07,0.015164333333333335,0.0
0.08,0.01697066666666667,0.0
0.09,0.018692999999999994,0.0
0.1,0.020333333333333328,0.0
0.11,0.021893666666666662,0.0
0.12,0.023375999999999997,0.0
0.13,0.02478233333333333,0.0
0.14,0.026114666666666665,0.0
0.15,0.027375,0.0
0.16,0.028565333333333335,0.0
0.17,0.02968766666666667,0.0
0.18,0.030743999999999997,0.0
0.19,0.03173633333333333,0.0
0.2,0.03266666666666666,0.0
0.21,0.033537,0.0
0.22,0.03434933333333333,0.0
0.23,0.03510566666666666,0.0
0.24,0.03580799999999999,0.0
0.25,0.03645833333333333,0.0
0.26,0.03705866666666666,0.0
0.27,0.037611,0.0
0.28,0.038117333333333336,0.0
0.29,0.038579666666666665,0.0
0.3,0.03899999999999999,0.0
0.31,0.03938033333333333,0.0
0.32,0.03972266666666666,0.0
0.33,0.040028999999999995,0.0
0.34,0.04030133333333333,0.0
0.35000000000000003,0.04054166666666666,0.0
0.36,0.040752,0.0
0.37,0.04093433333333333,0.0
0.38,0.041090666666666664,0.0
0.39,0.041222999999999996,0.0
0.4,0.04133333333333333,0.0
0.41000000000000003,0.041423666666666664,0.0
0.42,0.041496,0.0
0.43,0.04155233333333333,0.0
0.44,0.04159466666666667,0.0
0.45,0.041624999999999995,0.0
0.46,0.04164533333333333,0.0
0.47000000000000003,0.04165766666666666,0.0
0.48,0.041664,0.0
0.49,0.04166633333333333,0.0
0.5,0.041666666666666664,0.0
0.51,0.04166633333333333,0.0
0.52,0.041664,0.0
0.53,0.04165766666666666,0.0
0.54,0.04164533333333333,0.0
0.55,0.041624999999999995,0.0
0.56,0.04159466666666667,0.0
0.5700000000000001,0.04155233333333333,0.0
0.58,0.041496,0.0
0.59,0.041423666666666664,0.0
0.6,0.04133333333333333,0.0
0.61,0.041222999999999996,0.0
0.62,0.041090666666666664,0.0
0.63,0.04093433333333333,0.0
0.64,0.040752,0.0
0.65,0.04054166666666666,0.0
0.66,0.04030133333333333,0.0
0.67,0.040028999999999995,0.0
0.68,0.03972266666666666,0.0
0.6900000000000001,0.03938033333333333,0.0
0.7000000000000001,0.03899999999999999,0.0
0.71,0.038579666666666665,0.0
0.72,0.038117333333333336,0.0
0.73,0.037611,0.0
0.74,0.03705866666666666,0.0
0.75,0.03645833333333333,0.0
0.76,0.03580799999999999,0.0
0.77,0.03510566666666666,0.0
0.78,0.03434933333333333,0.0
0.79,0.033537,0.0
0.8,0.03266666666666666,0.0
0.81,0.031736333333333325,0.0
0.8200000000000001,0.030743999999999994,0.0
0.8300000000000001,0.029687666666666657,0.0
0.84,0.028565333333333335,0.0
0.85,0.027375,0.0
0.86,0.026114666666666665,0.0
0.87,0.02478233333333333,0.0
0.88,0.023375999999999997,0.0
0.89,0.021893666666666662,0.0
0.9,0.020333333333333328,0.0
0.91,0.018692999999999994,0.0
0.92,0.01697066666666666,0.0
0.93,0.015164333333333325,0.0
0.9400000000000001,0.013271999999999987,0.0
0.9500000000000001,0.011291666666666653,0.0
0.96,0.00922133333333334,0.0
0.97,0.0070590000000000045,0.0
0.98,0.004802666666666668,0.0
0.99,0.0024503333333333365,0.0
1.0,0.0,0.0
